offset_hex,size_bytes,domain,name,type,min_raw,max_raw,step_raw,parameters,default,risk,state,description_fr,ifr_help
0x10,1,,C states,OneOf,0,1,0,0 Disabled · 1 Enabled,1,🟠,✅ IFR,"Active/désactive la gestion des C-states CPU, donc les états de repos.",Enable/Disable CPU Power Management. Allows CPU to go to C states when it's not 100% utilized.
0x11,1,,Enhanced C-states,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Contrôle C1E : baisse la fréquence quand tous les cœurs sont en C-state.,"Enable/Disable C1E. When enabled, CPU will switch to minimum speed when all cores enter C-State."
0x12,1,,Turbo Mode,OneOf,0,1,0,0 Disabled · 1 Enabled (def),1 (Enabled),🟠,✅ IFR,Active/désactive le Turbo Boost du processeur.,Enable/Disable processor Turbo Mode.
0x13,4,,Power Limit 1,Numeric,0,4095875,125,"0..4095875 mW, pas 125 mW",0,🔴,✅ IFR,Définit PL1 (puissance soutenue) en milliwatts ; 0 demande la valeur TDP/base par défaut.,"Power Limit 1 in Milli Watts. BIOS will round to the nearest 1/8W when programming. 0 = no custom override. For 12.50W, enter 12500. Overclocking SKU: Value must be between Max and Min Power Limits. Other SKUs: This value must be between Min Power Limit and Processor Base Power (TDP) Limit. If value is 0, BIOS will program Processor Base Power (TDP) value."
0x17,1,,Power Limit 1 Override,OneOf,0,1,0,0 Disabled · 1 Enabled,0,🔴,✅ IFR,Autorise le remplacement de PL1 par une valeur personnalisée au lieu de la politique BIOS par défaut.,"Enable/Disable Power Limit 1 override. If this option is disabled, BIOS will program the default values for Power Limit 1 and Power Limit 1 Time Window."
0x1E,1,,Power Limit 3 Override,OneOf,0,1,0,0 Disabled · 1 Enabled,0,🔴,✅ IFR,Autorise le remplacement de PL3 par les paramètres personnalisés ci-dessous.,"Enable/DisablePower Limit 3 override. If this option is disabled, BIOS will leave the hardware default values for Power Limit 3 and Power Limit 3 Time Window."
0x1F,4,,Power Limit 3,Numeric,0,4095875,125,"0..4095875 mW, pas 125 mW",0,🔴,✅ IFR,"Définit PL3 en milliwatts, limite de puissance intermédiaire/plateforme.","Power Limit 3 in Milli Watts. BIOS will round to the nearest 1/8W when programming. For 12.50W, enter 12500. XE SKU: Any value can be programmed. Overclocking SKU: Value must be between Max and Min Power Limits. Other SKUs: This value must be between Min Power Limit and Processor Base Power (TDP) Limit. If the value is 0, BIOS leaves the hardware default value"
0x23,1,,Power Limit 3 Time Window,OneOf,0,64,0,0 Auto/default; valeurs IFR discrètes jusqu'à 64 s,0,🔴,✅ IFR,Définit la fenêtre temporelle utilisée par PL3.,"Power Limit 3 Time Window value in Milli seconds. The value may vary from 3 to 64(max).Indicates the time window over which Power Limit 3 value should be maintained. If the value is 0, BIOS leaves the hardware default value"
0x24,1,,Power Limit 3 Duty Cycle,Numeric,0,100,0,0..100 %,0,🔴,✅ IFR,"Définit le duty cycle associé à PL3, en pourcentage.",Specify the duty cycle in percentage that the CPU is required to maintain over the configured time window. Range is 0-100.
0x25,1,,Power Limit 3 Lock,OneOf,0,1,0,0 Disabled · 1 Enabled,0,🔴,✅ IFR,Verrouille la configuration PL3 jusqu'au prochain reset approprié.,Power Limit 3 Lock. When enabled PL3 configurations are locked during OS. When disabled PL3 configuration can be changed during OS.
0x26,1,,Power Limit 4 Override,OneOf,0,1,0,0 Disabled · 1 Enabled,1,🔴,✅ IFR,Autorise le remplacement de PL4 par une valeur personnalisée.,"Enable/Disable Power Limit 4 override. If this option is disabled, BIOS will leave the default values for Power Limit 4."
0x27,4,,Power Limit 4,Numeric,0,4095875,125,"0..4095875 mW, pas 125 mW",95000,🔴,✅ IFR,"Définit PL4, limite de puissance instantanée, en milliwatts. Variable critique.","Power Limit 4 in Milli Watts. BIOS will round to the nearest 1/8W when programming. For 12.50W, enter 12500. If the value is 0, BIOS leaves default value"
0x2B,1,,Power Limit 4 Lock,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Verrouille la configuration PL4.,Power Limit 4 Lock. When enabled PL4 configurations are locked during OS. When disabled PL4 configuration can be changed during OS.
0x2C,4,,Power Limit 4 Boost,Numeric,0,63000,125,"0..63000 mW, pas 125 mW",0,🔴,✅ IFR,Définit le boost/complément associé à PL4.,"Configure Power Limit 4 Boost in Milli Watts. BIOS will round to the nearest 1/8W when programming. For 12.50W, enter 12500. The value 0 means disable."
0x30,1,,Package Power Limit MSR Lock,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🔴,✅ IFR,Verrouille les limites de puissance package dans le MSR PACKAGE_POWER_LIMIT.,"Enable/Disable locking of Package Power Limit settings. When enabled, PACKAGE_POWER_LIMIT MSR will be locked and a reset will be required to unlock the register."
0x31,1,,Platform PL1 Enable,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟡,✅ IFR,Active/désactive la limite Platform PL1.,"Enable/Disable Platform Power Limit 1 programming. If this option is enabled, it activates the PL1 value to be used by the processor to limit the average power of given time window."
0x32,4,,Platform PL1 Power,Numeric,0,4095875,125,"0..4095875 mW, pas 125 mW",0,🟡,✅ IFR,Définit Platform PL1 en milliwatts.,"Platform Power Limit 1 Power in Milli Watts. BIOS will round to the nearest 1/8W when programming. Any value can be programmed between Max and Min Power Limits. For 12.50W, enter 12500. This setting will act as the new PL1 value for the Package RAPL algorithm."
0x36,1,,Platform PL1 Time Window,OneOf,0,128,0,"0 default; IFR: 1,2,3,4,5,6,7,8,10,12,14,16,20,24,28,32,40,48,56,64,80,96,112,128 s",0 (0),🟡,✅ IFR,Définit la fenêtre temporelle de Platform PL1.,Platform Power Limit 1 Time Window value in seconds. The value may vary from 0 to 128. 0 = default values. Indicates the time window over which Platform Processor Base Power (TDP) value should be maintained.
0x37,1,,Platform PL2 Enable,OneOf,0,1,0,0 Disabled (def) · 1 Enabled,0 (Disabled),🟡,✅ IFR,Active/désactive la limite Platform PL2.,"Enable/Disable Platform Power Limit 2 programming. If this option is disabled, BIOS will program the default values for Platform Power Limit 2."
0x38,4,,Platform PL2 Power,Numeric,0,4095875,125,"0..4095875 mW, pas 125 mW",0,🟡,✅ IFR,Définit Platform PL2 en milliwatts.,"Platform Power Limit 2 Power in Milli Watts. BIOS will round to the nearest 1/8W when programming. Any value can be programmed between Max and Min Power Limits. For 12.50W, enter 12500. This setting will act as the new Max Turbo Power (PL2) value for the Package RAPL algorithm."
